Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
29,4,1,,11:57:00 AM,23.75,,12:34:00 PM,14.4,8.4,19.8,,5:58:00 PM,18.78,,6:32:00 PM,361.00,,14.11,8.5,20.9,10,,1,1_17_18
30,4,2,,7:58:00 AM,24.01,,8:18:00 AM,16.87,8.5,20.2,,1:57:00 PM,17.59,,2:18:00 PM,359.00,,14.33,8.5,20.8,0,,0,1_17_18
31,4,2,,10:35:00 AM,21.07,,11:12:00 AM,14.14,8.6,19.9,,4:39:00 PM,19.07,,5:14:00 PM,364.00,,14.78,8.6,20.6,0,,0,1_17_18
32,4,2,,11:07:00 AM,20.04,,11:31:00 AM,12.65,8.6,19.9,,5:08:00 PM,22.69,,5:37:00 PM,361.00,,13.61,8.5,20.8,0,,0,1_17_18
33,5,1,,8:57:00 AM,3.104,,9:35:00 AM,12.31,8.4,19.8,,2:54:00 PM,1.018,,3:30:00 PM,357.00,,10.16,8.5,20.6,10,,0,1_17_18
34,5,1,,9:30:00 AM,2.962,,10:11:00 AM,11.21,8.4,19.7,,3:31:00 PM,2.379,,4:10:00 PM,361.00,,10.86,8.4,20.2,10,,0,1_17_18
35,5,1,,10:13:00 AM,3.046,,10:36:00 AM,11.77,8.4,19.6,,4:12:00 PM,1.622,,4:39:00 PM,359.00,,11.69,8.4,20.1,10,,0,1_17_18
36,5,1,,11:39:00 AM,2.827,,12:04:00 PM,11.52,8.5,19.6,,5:41:00 PM,1.18,,6:16:00 PM,362.00,,10.96,8.4,20.2,10,,0,1_17_18
37,5,1,,12:03:00 PM,3.006,,12:37:00 PM,11.44,8.7,19.5,,6:09:00 PM,1.602,,6:37:00 PM,366.00,,11.08,8.4,20.7,11,,0,1_17_18
38,5,2,,8:04:00 AM,3.262,,8:28:00 AM,12.35,8.5,20.3,,2:00:00 PM,2.359,,2:28:00 PM,356.00,,11.36,8.5,20.9,0,,0,1_17_18
39,5,2,,8:26:00 AM,2.937,,8:58:00 AM,10.22,8.5,20.1,,2:35:00 PM,2.855,,2:57:00 PM,369.00,,10.72,8.5,20.6,0,,0,1_17_18
40,5,2,,11:14:00 AM,2.908,,11:40:00 AM,11.12,8.6,19.7,,5:15:00 PM,3.037,,5:42:00 PM,361.00,,11.3,8.5,20.6,0,,0,1_17_18
